image_path,label
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro01\0.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro01\1.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro01\2.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro01\5.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro01\12.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro01\14.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro01\11.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro01\13.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\0.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\1.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\2.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\3.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\4.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\5.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\6.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\8.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\10.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\12.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\13.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\14.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\15.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\16.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\17.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\18.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\19.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\20.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\1.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\5.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\9.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\10.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\11.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\12.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\13.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\14.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro02\15.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\0.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\1.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\2.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\4.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\5.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\6.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\8.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\9.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\10.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\12.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\13.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\15.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\16.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\17.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\18.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\19.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\21.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\22.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\23.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\24.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\25.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\26.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\0.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\1.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\3.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\6.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\7.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\8.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\9.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\11.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\13.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\14.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\15.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\16.jpg,3
